Ligand Short Name,Base File Name,KD1,KD2,Alpha,SC
Gen_8_Mutant_13_44475,Gen_8_Mutant_13_44475__2,0.5993955009775173,9.096731904955463e-08,6589130.110023308,-0.5118335523259537
Gen_8_Mutant_24_439956,Gen_8_Mutant_24_439956__2,9.139517802284592e-05,8.693584466298958e-06,10.51294530778911,-8.492503886668432
Gen_8_Mutant_21_351398,Gen_8_Mutant_21_351398__4,0.0011651797948364834,1.02930438241364e-05,113.20070279932413,-6.6957306764867965
Gen_8_Mutant_23_669159,Gen_8_Mutant_23_669159__1,491450.32279754,9.096731904955463e-08,5402493202309.518,13.105116140818954
Gen_8_Cross_178236,Gen_8_Cross_178236__1,1.5775453151626124e-05,4.1590092830141227e-07,37.9307957211226,-10.77303720092907
Gen_8_Cross_447431,Gen_8_Cross_447431__3,3.6066864924114016e-06,4.629196545585792e-08,77.91171657748227,-12.373901554647446
Gen_8_Mutant_21_583800,Gen_8_Mutant_21_583800__2,1.1348467006577217e-05,3.5127314248113844e-07,32.30667430598276,-11.04456163734675
Gen_8_Cross_131060,Gen_8_Cross_131060__1,2.1852211314490282e+30,2.394796092397286e-05,9.124873463700766e+34,69.85926981757261
Gen_8_Cross_142088,Gen_8_Cross_142088__1,4.195261970409019e-05,1.3564522063286917e-06,30.92819600156583,-9.763293538506097
Gen_8_Cross_329459,Gen_8_Cross_329459__3,2.497058683901967e-05,5.480883414541699e-08,455.5941980588117,-10.574601381404966
Gen_8_Cross_308889,Gen_8_Cross_308889__2,9.097945625810848e-06,3.7365789172835235e-06,2.4348329922133733,-8.228123846408776
Gen_8_Cross_920985,Gen_8_Cross_920985__2,2.136784397024715e-05,2.1164602416720824e-07,100.96028996682573,-10.648154643512102
Gen_8_Cross_593339,Gen_8_Cross_593339__4,828253990200410.2,0.00035709818396099377,2.31940129466153e+18,34.35034097472497
Gen_8_Mutant_14_354964,Gen_8_Mutant_14_354964__4,2.5908361619458905e-05,2.966880144570127e-07,87.32527219502082,-10.44137602163524
Gen_8_Cross_508664,Gen_8_Cross_508664__2,3.8184867025976716e-05,1.9014914803386492e-06,20.081534637839198,-9.690512888708241
Gen_8_Cross_23528,Gen_8_Cross_23528__4,5.428824975056381e-06,7.683170161732237e-08,70.65865861068481,-11.954599804642255
Gen_8_Cross_896410,Gen_8_Cross_896410__1,7.712928695014757e-06,1.0770362963297668e-07,71.61252337825775,-11.610483354703272
